,Original Datasets,Transformed Datasets
0,DONE-abalone.csv,dataset 1
1,DONE-Absenteeism-at-work-AAA.csv,dataset 2
2,DONE-Acute_Inflammations.csv,dataset 3
3,aids.csv,dataset 4
4,DONE-analcatdata_challenger.csv,dataset 5
5,DONE-analcatdata_dmft.csv,dataset 6
6,DONE-analcatdata_germangss.csv,dataset 7
7,DONE-analcatdata_michiganacc.csv,dataset 8
8,analcatdata_ncaa.csv,dataset 9
9,DONE-analcatdata_negotiation.csv,dataset 10
10,DONE-analcatdata_authorship.csv,dataset 11
11,DONE-analcatdata_wildcat.csv,dataset 12
12,DONE-Annealing.csv,dataset 13
13,DONE-appendicitis.csv,dataset 14
14,DONE-ar1.csv,dataset 15
15,DONE-ar4.csv,dataset 16
16,DONE-ar6.csv,dataset 17
17,DONE-Arrhythmia.csv,dataset 18
18,DONE-arsenic-female-lung.csv,dataset 19
19,DONE-arsenic-male-bladder.csv,dataset 20
20,DONE-Audiology.csv,dataset 21
21,DONE-audit.csv,dataset 22
22,DONE-autoMpg.csv,dataset 23
23,DONE-autoPrice.csv,dataset 24
24,DONE-autoUniv-au7-500.csv,dataset 25
25,DONE-backache.csv,dataset 26
26,DONE-badges2.csv,dataset 27
27,DONE-banknote-authentication.csv,dataset 28
28,DONE-basketball.csv,dataset 29
29,DONE-Bigg_Boss_India.csv,dataset 30
30,DONE-blogger.csv,dataset 31
31,DONE-blood-transfusion.csv,dataset 32
32,DONE-bolts.csv,dataset 33
33,DONE-boston.csv,dataset 34
34,DONE-breast-cancer-coimbra.csv,dataset 35
35,DONE-breast-cancer-wisconsin-diagnostic.csv,dataset 36
36,DONE-breast-cancer-wisconsin-prognostic.csv,dataset 37
37,DONE-breast-cancer-wisconsin.csv,dataset 38
38,DONE-breast-tissue.csv,dataset 39
39,DONE-buddyMove.csv,dataset 40
40,DONE-buddymove_holidayiq.csv,dataset 41
41,DONE-bupa.csv,dataset 42
42,DONE-calendarDOW.csv,dataset 43
43,DONE-caradiotocography10clases.csv,dataset 44
44,cardiotocography3clases.csv,dataset 45
45,DONE-cars1.csv,dataset 46
46,DONE-CastMetal1.csv,dataset 47
47,DONE-cbodyfat.csv,dataset 48
48,DONE-cervical-cancer.csv,dataset 49
49,DONE-chronic-kidney-disease.csv,dataset 50
50,DONE-chscase_census2.csv,dataset 51
51,chscase_census5.csv,dataset 52
52,cjs.csv,dataset 53
53,DONE-clean1.csv,dataset 54
54,cleve.csv,dataset 55
55,DONE-cleveland-nominal.csv,dataset 56
56,DONE-collins.csv,dataset 57
57,DONE-congressional-voting.csv,dataset 58
58,DONE-Contraceptive_Method_Choice.csv,dataset 59
59,DONE-corral.csv,dataset 60
60,DONE-cps_85_wages.csv,dataset 61
61,DONE-Credit_Approval.csv,dataset 62
62,DONE-cylinder-bands.csv,dataset 63
63,c_breast.csv,dataset 64
64,DONE-datatrieve.csv,dataset 65
65,DONE-data_student.csv,dataset 66
66,DONE-dermatology.csv,dataset 67
67,DONE-diggle_table_a2.csv,dataset 68
68,dresses-attribute-sales.csv,dataset 69
69,DONE-Echocardiogram.csv,dataset 70
70,ecoli.csv,dataset 71
71,DONE-Education_Indicators_2014.csv,dataset 72
72,emotions.csv,dataset 73
73,DONE-energy.csv,dataset 74
74,DONE-Engine1.csv,dataset 75
75,epiparo_extract.csv,dataset 76
76,DONE-ESL.csv,dataset 77
77,DONE-eucalyptus.csv,dataset 78
78,DONE-fertility.csv,dataset 79
79,fishcatch.csv,dataset 80
80,DONE-fl2000.csv,dataset 81
81,DONE-flags.csv,dataset 82
82,DONE-forest-type-mapping.csv,dataset 83
83,DONE-fri_c2_500_50.csv,dataset 84
84,DONE-fri_c3_500_10.csv,dataset 85
85,DONE-fri_c3_500_50.csv,dataset 86
86,DONE-fri_c4_500_100.csv,dataset 87
87,fruitfly.csv,dataset 88
88,gender.csv,dataset 89
89,DONE-glass.csv,dataset 90
90,DONE-grub-damage.csv,dataset 91
91,DONE-haberman.csv,dataset 92
92,DONE-hayes-roth.csv,dataset 93
93,DONE-heart-cleveland.csv,dataset 94
94,DONE-heart-hungarian.csv,dataset 95
95,DONE-heart-long-beach.csv,dataset 96
96,DONE-heart-statlog.csv,dataset 97
97,DONE-heart-switzerland.csv,dataset 98
98,DONE-heart-va.csv,dataset 99
99,DONE-hepatitis.csv,dataset 100
100,DONE-hill-valley.csv (4 datasets),dataset 101
101,DONE-horse-colic.csv,dataset 102
102,DONE-image-segmentation.csv,dataset 103
103,DONE-Immunotherapy.csv,dataset 104
104,DONE-indian-liver-patients.csv,dataset 105
105,DONE-Iris.csv,dataset 106
106,DONE-istanbul-stock-exchange.csv,dataset 107
107,DONE-jasmine.csv,dataset 108
108,DONE-jEdit_4.csv,dataset 109
109,jobs.csv,dataset 110
110,DONE-kc3.csv,dataset 111
111,knuggetChase3.csv,dataset 112
112,leaf.csv,dataset 113
113,DONE-led7digit.csv,dataset 114
114,DONE-lenses.csv,dataset 115
115,DONE-libras.csv,dataset 116
116,DONE-liion_batteries.csv,dataset 117
117,liver-disorders.csv,dataset 118
118,DONE-lowbwt.csv,dataset 119
119,DONE-lungcancer_GSE31210.csv,dataset 120
120,lupus.csv,dataset 121
121,DONE-lymphography.csv,dataset 122
122,DONE-machine_cpu.csv,dataset 123
123,Mall_Customers.csv,dataset 124
124,DONE-marketing_campaign.csv,dataset 125
125,DONE-mc2.csv,dataset 126
126,DONE-meanWhile1.csv,dataset 127
127,MegaWatt1.csv,dataset 128
128,DONE-mfeat-karhunen.csv,dataset 129
129,DONE-MindCave2.csv,dataset 130
130,DONE-mobile_price_classification_train.csv,dataset 131
131,DONE-molecular-biology_promoters.csv,dataset 132
132,DONE-monks-2.csv,dataset 133
133,DONE-mu284.csv,dataset 134
134,DONE-mux6.csv,dataset 135
135,DONE-mw1.csv,dataset 136
136,DONE-newton_hema.csv,dataset 137
137,no2.csv,dataset 138
138,OSAR.csv,dataset 139
139,DONE-parkinsons.csv,dataset 140
140,pbc.csv,dataset 141
141,DONE-pc1.csv,dataset 142
142,DONE-pc1_req.csv,dataset 143
143,DONE-pc3.csv,dataset 144
144,DONE-pc4.csv,dataset 145
145,DONE-pima.csv,dataset 146
146,planning.csv,dataset 147
147,DONE-plasma_retinol.csv,dataset 148
148,pm10.csv,dataset 149
149,pollution.csv,dataset 150
150,DONE-PopularKids.csv,dataset 151
151,DONE-post-operative.csv,dataset 152
152,DONE-primary-tumor.csv,dataset 153
153,DONE-prnn_fglass.csv,dataset 154
154,DONE-prnn_viruses.csv,dataset 155
155,DONE-profb.csv,dataset 156
156,DONE-pwLinear.csv,dataset 157
157,quake.csv,dataset 158
158,qualitative-bankruptcy.csv,dataset 159
159,rabe_266.csv,dataset 160
160,residential_building.csv,dataset 161
161,rmftsa_ctoarrivals.csv,dataset 162
162,robot-failures-lp4.csv,dataset 163
163,robot-failures-lp5.csv,dataset 164
164,saheart.csv,dataset 165
165,DONE-Sales_Transactions_Dataset_Weekly.csv,dataset 166
166,Sample_Stocks.csv,dataset 167
167,seeds.csv,dataset 168
168,sensory.csv,dataset 169
169,sleuth_case2002.csv,dataset 170
170,solar_flare.csv,dataset 171
171,sonar.csv,dataset 172
172,soybean.csv,dataset 173
173,spect.csv,dataset 174
174,sponge.csv,dataset 175
175,star_types.csv,dataset 176
176,statlog-australian-credit.csv,dataset 177
177,statlog-german-credit.csv,dataset 178
178,steel_plates.csv,dataset 179
179,stock_price.csv,dataset 180
180,students_academic_performance.csv,dataset 181
181,stulong.csv,dataset 182
182,synthetic_control.csv,dataset 183
183,tae.csv,dataset 184
184,Taxpayer.csv,dataset 185
185,tecator.csv,dataset 186
186,telecom_churn.csv,dataset 187
187,thoracic-surgery.csv,dataset 188
188,tic-tac-toe.csv,dataset 189
189,titanic.csv,dataset 190
190,TKDSalesRegion4.csv,dataset 191
191,triazines.csv,dataset 192
192,urban-land-cover.csv,dataset 193
193,vehicle.csv,dataset 194
194,vertebral-column-2clases.csv,dataset 195
195,vertebral-column-3clases.csv,dataset 196
196,veteran.csv,dataset 197
