Gender,Grade,Age,Race,Urban/Rural,School,Goals,Grades,Sports,Looks,Money
b'boy',5.0,11.0,b'White',b'Rural',b'Elm',b'Sports',1.0,2.0,4.0,3.0
b'boy',5.0,10.0,b'White',b'Rural',b'Elm',b'Popular',2.0,1.0,4.0,3.0
b'girl',5.0,11.0,b'White',b'Rural',b'Elm',b'Popular',4.0,3.0,1.0,2.0
b'girl',5.0,11.0,b'White',b'Rural',b'Elm',b'Popular',2.0,3.0,4.0,1.0
b'girl',5.0,10.0,b'White',b'Rural',b'Elm',b'Popular',4.0,2.0,1.0,3.0
b'girl',5.0,11.0,b'White',b'Rural',b'Elm',b'Popular',4.0,2.0,1.0,3.0
b'girl',5.0,10.0,b'White',b'Rural',b'Elm',b'Popular',3.0,4.0,1.0,2.0
b'girl',5.0,10.0,b'White',b'Rural',b'Elm',b'Grades',3.0,4.0,2.0,1.0
b'girl',5.0,10.0,b'White',b'Rural',b'Elm',b'Sports',3.0,2.0,1.0,4.0
b'girl',5.0,10.0,b'White',b'Rural',b'Elm',b'Sports',4.0,3.0,2.0,1.0
b'girl',5.0,11.0,b'White',b'Rural',b'Elm',b'Sports',2.0,3.0,1.0,4.0
b'girl',4.0,10.0,b'White',b'Rural',b'Elm',b'Grades',2.0,3.0,4.0,1.0
b'boy',4.0,9.0,b'White',b'Rural',b'Elm',b'Popular',2.0,3.0,4.0,1.0
b'boy',4.0,9.0,b'White',b'Rural',b'Elm',b'Popular',4.0,2.0,3.0,1.0
b'boy',4.0,9.0,b'Other',b'Rural',b'Elm',b'Popular',4.0,3.0,2.0,1.0
b'girl',4.0,9.0,b'White',b'Rural',b'Elm',b'Grades',1.0,3.0,2.0,4.0
b'girl',4.0,9.0,b'White',b'Rural',b'Elm',b'Sports',3.0,1.0,2.0,4.0
b'girl',4.0,9.0,b'White',b'Rural',b'Elm',b'Popular',3.0,4.0,1.0,2.0
b'girl',4.0,9.0,b'White',b'Rural',b'Elm',b'Grades',2.0,3.0,1.0,4.0
b'girl',4.0,9.0,b'White',b'Rural',b'Elm',b'Sports',3.0,2.0,1.0,4.0
b'girl',4.0,9.0,b'White',b'Rural',b'Elm',b'Popular',4.0,3.0,1.0,2.0
b'girl',4.0,9.0,b'White',b'Suburban',b'Brentwood Elementary',b'Grades',1.0,4.0,2.0,3.0
b'girl',4.0,9.0,b'White',b'Suburban',b'Brentwood Elementary',b'Popular',4.0,2.0,1.0,3.0
b'girl',4.0,9.0,b'White',b'Suburban',b'Brentwood Elementary',b'Grades',4.0,3.0,2.0,1.0
b'girl',4.0,7.0,b'White',b'Suburban',b'Brentwood Elementary',b'Grades',1.0,2.0,3.0,4.0
b'girl',4.0,9.0,b'White',b'Suburban',b'Brentwood Elementary',b'Popular',2.0,3.0,1.0,4.0
b'girl',4.0,10.0,b'White',b'Suburban',b'Brentwood Elementary',b'Popular',2.0,3.0,1.0,4.0
b'girl',4.0,9.0,b'White',b'Suburban',b'Brentwood Elementary',b'Grades',4.0,2.0,1.0,3.0
b'girl',4.0,10.0,b'White',b'Suburban',b'Brentwood Elementary',b'Popular',2.0,3.0,4.0,1.0
b'boy',4.0,10.0,b'White',b'Suburban',b'Brentwood Elementary',b'Grades',1.0,2.0,4.0,3.0
b'boy',4.0,10.0,b'White',b'Suburban',b'Brentwood Elementary',b'Grades',2.0,4.0,3.0,1.0
b'boy',4.0,9.0,b'White',b'Suburban',b'Brentwood Elementary',b'Grades',1.0,2.0,4.0,3.0
b'boy',4.0,9.0,b'White',b'Suburban',b'Brentwood Elementary',b'Grades',3.0,1.0,2.0,4.0
b'boy',4.0,10.0,b'White',b'Suburban',b'Brentwood Elementary',b'Grades',2.0,1.0,3.0,4.0
b'boy',4.0,11.0,b'White',b'Suburban',b'Brentwood Elementary',b'Sports',3.0,1.0,2.0,4.0
b'boy',4.0,9.0,b'White',b'Suburban',b'Brentwood Elementary',b'Sports',4.0,3.0,2.0,1.0
b'boy',4.0,10.0,b'White',b'Suburban',b'Brentwood Elementary',b'Popular',3.0,2.0,1.0,4.0
b'boy',4.0,10.0,b'White',b'Suburban',b'Brentwood Elementary',b'Sports',3.0,1.0,4.0,2.0
b'boy',4.0,10.0,b'White',b'Suburban',b'Brentwood Elementary',b'Grades',2.0,3.0,1.0,4.0
b'boy',4.0,9.0,b'White',b'Suburban',b'Brentwood Elementary',b'Sports',4.0,1.0,3.0,2.0
b'boy',4.0,9.0,b'White',b'Suburban',b'Brentwood Elementary',b'Grades',2.0,1.0,3.0,4.0
b'boy',4.0,10.0,b'White',b'Suburban',b'Brentwood Elementary',b'Grades',2.0,1.0,4.0,3.0
b'boy',4.0,9.0,b'White',b'Suburban',b'Brentwood Elementary',b'Popular',3.0,2.0,4.0,1.0
b'boy',5.0,11.0,b'Other',b'Suburban',b'Brentwood Elementary',b'Grades',2.0,1.0,3.0,4.0
b'boy',5.0,11.0,b'White',b'Suburban',b'Brentwood Elementary',b'Popular',2.0,1.0,4.0,3.0
b'boy',5.0,11.0,b'White',b'Suburban',b'Brentwood Elementary',b'Grades',4.0,1.0,2.0,3.0
b'boy',5.0,11.0,b'White',b'Suburban',b'Brentwood Elementary',b'Popular',4.0,3.0,1.0,2.0
b'boy',5.0,11.0,b'Other',b'Suburban',b'Brentwood Elementary',b'Sports',4.0,2.0,1.0,3.0
b'boy',5.0,11.0,b'White',b'Suburban',b'Brentwood Elementary',b'Grades',2.0,1.0,3.0,4.0
b'boy',5.0,11.0,b'White',b'Suburban',b'Brentwood Elementary',b'Popular',3.0,2.0,1.0,4.0
b'boy',5.0,10.0,b'White',b'Suburban',b'Brentwood Elementary',b'Grades',2.0,1.0,3.0,4.0
b'boy',5.0,11.0,b'White',b'Suburban',b'Brentwood Elementary',b'Sports',4.0,1.0,2.0,3.0
b'boy',5.0,11.0,b'White',b'Suburban',b'Brentwood Elementary',b'Sports',3.0,1.0,2.0,4.0
b'boy',5.0,10.0,b'Other',b'Suburban',b'Brentwood Elementary',b'Popular',3.0,2.0,1.0,4.0
b'boy',5.0,10.0,b'White',b'Suburban',b'Brentwood Elementary',b'Sports',4.0,1.0,3.0,2.0
b'boy',5.0,10.0,b'White',b'Suburban',b'Brentwood Elementary',b'Sports',4.0,1.0,3.0,2.0
b'boy',5.0,11.0,b'White',b'Suburban',b'Brentwood Elementary',b'Grades',2.0,1.0,3.0,4.0
b'boy',5.0,11.0,b'White',b'Suburban',b'Brentwood Elementary',b'Grades',1.0,2.0,4.0,3.0
b'boy',5.0,10.0,b'White',b'Suburban',b'Brentwood Elementary',b'Grades',2.0,3.0,1.0,4.0
b'boy',5.0,11.0,b'White',b'Suburban',b'Brentwood Elementary',b'Grades',2.0,1.0,3.0,4.0
b'boy',5.0,10.0,b'White',b'Suburban',b'Brentwood Elementary',b'Grades',2.0,1.0,3.0,4.0
b'boy',5.0,10.0,b'White',b'Suburban',b'Brentwood Elementary',b'Popular',4.0,1.0,2.0,3.0
b'boy',5.0,11.0,b'Other',b'Suburban',b'Brentwood Elementary',b'Grades',3.0,1.0,2.0,4.0
b'boy',5.0,10.0,b'White',b'Suburban',b'Brentwood Elementary',b'Grades',3.0,4.0,1.0,2.0
b'boy',5.0,10.0,b'White',b'Suburban',b'Brentwood Elementary',b'Grades',2.0,1.0,3.0,4.0
b'boy',5.0,10.0,b'White',b'Suburban',b'Brentwood Elementary',b'Grades',2.0,1.0,4.0,3.0
b'boy',5.0,10.0,b'White',b'Suburban',b'Brentwood Elementary',b'Grades',3.0,1.0,2.0,4.0
b'boy',5.0,11.0,b'White',b'Suburban',b'Brentwood Elementary',b'Popular',4.0,2.0,1.0,3.0
b'boy',5.0,10.0,b'White',b'Suburban',b'Brentwood Elementary',b'Grades',1.0,3.0,2.0,4.0
b'boy',5.0,10.0,b'White',b'Suburban',b'Brentwood Elementary',b'Grades',2.0,1.0,4.0,3.0
b'boy',5.0,10.0,b'White',b'Suburban',b'Brentwood Elementary',b'Popular',4.0,2.0,1.0,3.0
b'girl',5.0,9.0,b'White',b'Suburban',b'Brentwood Elementary',b'Popular',2.0,3.0,1.0,4.0
b'girl',5.0,11.0,b'White',b'Suburban',b'Brentwood Elementary',b'Grades',3.0,2.0,1.0,4.0
b'girl',5.0,12.0,b'Other',b'Suburban',b'Brentwood Elementary',b'Grades',2.0,3.0,1.0,4.0
b'girl',5.0,10.0,b'White',b'Suburban',b'Brentwood Elementary',b'Grades',3.0,4.0,1.0,2.0
b'girl',5.0,11.0,b'White',b'Suburban',b'Brentwood Elementary',b'Grades',2.0,4.0,1.0,3.0
b'girl',5.0,11.0,b'White',b'Suburban',b'Brentwood Elementary',b'Grades',2.0,1.0,4.0,3.0
b'girl',5.0,10.0,b'White',b'Suburban',b'Brentwood Elementary',b'Grades',2.0,3.0,1.0,4.0
b'girl',5.0,10.0,b'White',b'Suburban',b'Brentwood Elementary',b'Grades',1.0,2.0,3.0,4.0
b'girl',5.0,12.0,b'White',b'Suburban',b'Brentwood Elementary',b'Popular',3.0,4.0,1.0,2.0
b'girl',5.0,11.0,b'White',b'Suburban',b'Brentwood Elementary',b'Grades',1.0,4.0,2.0,3.0
b'girl',5.0,11.0,b'White',b'Suburban',b'Brentwood Elementary',b'Grades',3.0,4.0,1.0,2.0
b'girl',5.0,10.0,b'White',b'Suburban',b'Brentwood Elementary',b'Grades',3.0,1.0,2.0,4.0
b'girl',5.0,10.0,b'White',b'Suburban',b'Brentwood Elementary',b'Grades',2.0,1.0,4.0,3.0
b'girl',5.0,10.0,b'White',b'Suburban',b'Brentwood Elementary',b'Popular',2.0,3.0,1.0,4.0
b'girl',5.0,10.0,b'White',b'Suburban',b'Brentwood Elementary',b'Popular',3.0,2.0,1.0,4.0
b'girl',5.0,10.0,b'White',b'Suburban',b'Brentwood Elementary',b'Grades',1.0,3.0,2.0,4.0
b'girl',5.0,11.0,b'White',b'Suburban',b'Brentwood Elementary',b'Sports',1.0,3.0,2.0,4.0
