Winter,January,8.0,40.0
Winter,February,8.2,39.0
Spring,March,8.0,32.0
Spring,April,8.75,27.0
Spring,May,7.25,31.0
Summer,June,7.25,30.0
Summer,July,7.75,23.0
Summer,August,7.5,25.0
Autumn,September,7.25,24.0
Autumn,October,7.25,35.0
Autumn,November,8.0,38.0
Winter,December,8.5,37.0
Winter,January,10.25,22.0
Winter,February,11.25,28.0
Spring,March,11.0,22.0
Spring,April,12.5,28.0
Spring,May,14.0,20.0
Summer,June,14.0,25.0
Summer,July,14.25,24.0
Summer,August,12.75,22.0
Autumn,September,12.0,20.0
Autumn,October,12.25,28.0
Autumn,November,12.5,24.0
Winter,December,12.25,43.0
Winter,January,14.0,29.0
Winter,February,14.25,28.0
Spring,March,13.25,19.0
Spring,April,12.25,25.0
Spring,May,11.5,21.0
Summer,June,11.0,30.0
Summer,July,12.0,23.0
Summer,August,11.0,24.0
Autumn,September,10.75,28.0
Autumn,October,11.75,26.0
Autumn,November,12.0,23.0
Winter,December,14.5,32.0
Winter,January,16.0,29.0
Winter,February,16.25,29.0
Spring,March,17.0,20.0
Spring,April,15.5,28.0
Spring,May,14.25,25.0
Summer,June,14.25,21.0
Summer,July,14.75,16.0
Summer,August,14.5,19.0
Autumn,September,14.5,19.0
Autumn,October,15.0,27.0
Autumn,November,16.5,29.0
Winter,December,17.25,26.0
Winter,January,17.0,24.0
Winter,February,16.5,20.0
Spring,March,17.0,22.0
Spring,April,15.5,21.0
Spring,May,14.75,25.0
Summer,June,14.5,24.0
Summer,July,13.25,25.0
Summer,August,13.5,26.0
Autumn,September,12.5,26.0
Autumn,October,12.75,31.0
Autumn,November,11.75,27.0
Winter,December,12.0,39.0
Winter,January,13.0,27.0
Winter,February,12.75,22.0
Spring,March,12.5,24.0
Spring,April,11.25,27.0
Spring,May,11.25,24.0
Summer,June,11.25,33.0
Summer,July,11.25,27.0
Summer,August,10.5,30.0
Autumn,September,10.0,23.0
Autumn,October,10.25,29.0
Autumn,November,11.0,33.0
Winter,December,10.75,40.0
Winter,January,12.5,34.0
Winter,February,10.5,31.0
Spring,March,10.75,22.0
Spring,April,10.5,24.0
Spring,May,10.0,35.0
Summer,June,10.5,24.0
Summer,July,11.0,29.0
Summer,August,10.0,25.0
Autumn,September,10.0,28.0
Autumn,October,9.75,34.0
Autumn,November,9.0,46.0
Winter,December,7.75,40.0
Winter,January,9.5,32.0
Winter,February,9.5,34.0
Spring,March,10.0,35.0
Spring,April,9.25,37.0
Spring,May,9.5,36.0
Summer,June,9.5,27.0
Summer,July,9.25,26.0
Summer,August,8.0,31.0
Autumn,September,8.5,39.0
Autumn,October,8.25,35.0
Autumn,November,8.25,45.0
Winter,December,7.75,35.0
Winter,January,8.0,46.0
Winter,February,9.0,26.0
Spring,March,8.5,32.0
Spring,April,8.75,27.0
Spring,May,8.25,30.0
Summer,June,9.0,36.0
Summer,July,8.75,26.0
Summer,August,8.5,33.0
Autumn,September,7.5,34.0
Autumn,October,7.0,39.0
Autumn,November,7.5,36.0
Winter,December,8.5,39.0
