Role,Status,Trust,Outcome_favorability,Procedural_fairness,binaryClass
b'Recruiter',66.666667,64.285714,38.095238,57.142857,b'N'
b'Recruiter',71.296296,57.142857,47.619048,80.952381,b'N'
b'Candidate',,,71.428571,71.428571,b'N'
b'Candidate',67.592593,45.238095,57.142857,71.428571,b'N'
b'Recruiter',32.407407,52.380952,71.428571,85.714286,b'N'
b'Recruiter',58.796296,52.380952,71.428571,80.952381,b'N'
b'Candidate',55.555556,69.047619,76.190476,85.714286,b'N'
b'Candidate',60.185185,71.428571,66.666667,80.952381,b'N'
b'Candidate',55.555556,59.52381,52.380952,42.857143,b'P'
b'Candidate',57.407407,64.285714,47.619048,76.190476,b'N'
b'Candidate',54.62963,64.285714,61.904762,66.666667,b'N'
b'Recruiter',,50.0,19.047619,42.857143,b'P'
b'Recruiter',71.296296,50.0,85.714286,85.714286,b'N'
b'Recruiter',,,28.571429,52.380952,b'P'
b'Recruiter',56.481481,,42.857143,47.619048,b'P'
b'Candidate',45.37037,30.952381,66.666667,47.619048,b'P'
b'Candidate',75.0,76.190476,80.952381,76.190476,b'N'
b'Candidate',75.0,57.142857,61.904762,85.714286,b'N'
b'Recruiter',66.666667,14.285714,71.428571,85.714286,b'N'
b'Recruiter',50.0,21.428571,14.285714,33.333333,b'P'
b'Candidate',,59.52381,80.952381,66.666667,b'N'
b'Candidate',39.814815,26.190476,57.142857,76.190476,b'N'
b'Candidate',56.481481,42.857143,42.857143,71.428571,b'P'
b'Recruiter',71.296296,71.428571,52.380952,66.666667,b'N'
b'Recruiter',49.074074,30.952381,76.190476,85.714286,b'N'
b'Recruiter',64.814815,57.142857,42.857143,,b'N'
b'Candidate',61.111111,38.095238,52.380952,57.142857,b'P'
b'Candidate',37.962963,33.333333,38.095238,52.380952,b'P'
b'Recruiter',70.37037,59.52381,47.619048,80.952381,b'N'
b'Recruiter',,,61.904762,61.904762,b'N'
b'Candidate',59.259259,21.428571,61.904762,76.190476,b'N'
b'Candidate',57.407407,66.666667,23.809524,28.571429,b'P'
b'Candidate',55.555556,57.142857,57.142857,61.904762,b'N'
b'Candidate',41.666667,52.380952,47.619048,71.428571,b'N'
b'Recruiter',50.925926,33.333333,33.333333,52.380952,b'P'
b'Recruiter',69.444444,54.761905,47.619048,47.619048,b'N'
b'Recruiter',58.333333,42.857143,76.190476,80.952381,b'N'
b'Recruiter',45.37037,28.571429,28.571429,38.095238,b'P'
b'Candidate',,,61.904762,71.428571,b'N'
b'Candidate',62.962963,52.380952,47.619048,52.380952,b'P'
b'Candidate',68.518519,42.857143,57.142857,66.666667,b'N'
b'Recruiter',,57.142857,42.857143,80.952381,b'N'
b'Candidate',57.407407,59.52381,71.428571,85.714286,b'N'
b'Candidate',75.925926,40.47619,80.952381,85.714286,b'N'
b'Recruiter',69.444444,57.142857,66.666667,76.190476,b'N'
b'Recruiter',75.925926,38.095238,42.857143,71.428571,b'N'
b'Candidate',81.481481,61.904762,66.666667,71.428571,b'N'
b'Recruiter',77.777778,66.666667,28.571429,52.380952,b'N'
b'Recruiter',,,,52.380952,b'N'
b'Recruiter',71.296296,42.857143,61.904762,85.714286,b'N'
b'Recruiter',62.037037,47.619048,61.904762,42.857143,b'N'
b'Candidate',77.777778,47.619048,76.190476,85.714286,b'N'
b'Candidate',68.518519,7.142857,42.857143,42.857143,b'P'
b'Candidate',52.777778,54.761905,33.333333,47.619048,b'P'
b'Recruiter',57.87037,38.095238,57.142857,57.142857,b'N'
b'Recruiter',75.925926,80.952381,47.619048,57.142857,b'N'
b'Candidate',62.962963,71.428571,57.142857,71.428571,b'N'
b'Candidate',,,47.619048,14.285714,b'P'
b'Candidate',52.777778,42.857143,57.142857,66.666667,b'N'
b'Recruiter',76.851852,59.52381,38.095238,47.619048,b'P'
b'Candidate',53.703704,35.714286,61.904762,61.904762,b'P'
b'Candidate',60.185185,54.761905,47.619048,42.857143,b'P'
b'Recruiter',66.666667,61.904762,52.380952,52.380952,b'P'
b'Recruiter',66.666667,38.095238,57.142857,66.666667,b'N'
b'Candidate',54.62963,50.0,,80.952381,b'N'
b'Candidate',50.925926,28.571429,38.095238,66.666667,b'N'
b'Recruiter',55.555556,45.238095,28.571429,52.380952,b'P'
b'Recruiter',47.222222,11.904762,76.190476,66.666667,b'N'
b'Recruiter',84.259259,80.952381,57.142857,71.428571,b'N'
b'Recruiter',66.666667,40.47619,61.904762,71.428571,b'N'
b'Candidate',73.148148,73.809524,47.619048,71.428571,b'N'
b'Recruiter',,38.095238,42.857143,42.857143,b'P'
