Grievances,Rotate,Union,Workforce,Log_workforce,binaryClass
5.0,b'1',b'1',174.0,5.15906,b'P'
18.0,b'1',b'1',208.0,5.33754,b'P'
4.0,b'1',b'1',238.0,5.47227,b'P'
5.0,b'1',b'1',297.0,5.69373,b'P'
6.0,b'1',b'1',126.0,4.83628,b'P'
8.0,b'1',b'1',161.0,5.0814,b'P'
0.0,b'1',b'0',91.0,4.51086,b'P'
0.0,b'1',b'0',147.0,4.99043,b'P'
2.0,b'1',b'1',97.0,4.57471,b'P'
2.0,b'1',b'1',77.0,4.34381,b'P'
2.0,b'1',b'1',130.0,4.86753,b'P'
2.0,b'1',b'1',140.0,4.94164,b'P'
0.0,b'0',b'0',7.0,1.94591,b'P'
0.0,b'0',b'0',6.0,1.79176,b'P'
0.0,b'0',b'0',8.0,2.07944,b'P'
0.0,b'0',b'0',9.0,2.19722,b'P'
0.0,b'0',b'0',10.0,2.30259,b'P'
0.0,b'0',b'0',10.0,2.30259,b'P'
0.0,b'0',b'0',11.0,2.3979,b'P'
0.0,b'0',b'0',10.0,2.30259,b'P'
0.0,b'0',b'0',18.0,2.89037,b'P'
0.0,b'0',b'0',21.0,3.04452,b'P'
0.0,b'0',b'0',36.0,3.58352,b'P'
0.0,b'0',b'0',67.0,4.20469,b'P'
0.0,b'0',b'0',50.0,3.91202,b'P'
0.0,b'0',b'0',75.0,4.31749,b'P'
0.0,b'0',b'0',115.0,4.74493,b'P'
0.0,b'0',b'0',48.0,3.8712,b'P'
0.0,b'0',b'0',51.0,3.93183,b'P'
0.0,b'0',b'0',53.0,3.97029,b'P'
0.0,b'0',b'0',61.0,4.11087,b'P'
0.0,b'0',b'0',69.0,4.23411,b'P'
0.0,b'0',b'0',16.0,2.77259,b'P'
0.0,b'0',b'0',16.0,2.77259,b'P'
0.0,b'0',b'0',16.0,2.77259,b'P'
0.0,b'0',b'0',16.0,2.77259,b'P'
0.0,b'0',b'0',16.0,2.77259,b'P'
0.0,b'0',b'0',16.0,2.77259,b'P'
0.0,b'0',b'0',59.0,4.07754,b'P'
0.0,b'0',b'0',63.0,4.14313,b'P'
0.0,b'0',b'0',56.0,4.02535,b'P'
9.0,b'0',b'1',372.0,5.91889,b'P'
9.0,b'1',b'1',400.0,5.99146,b'P'
0.0,b'1',b'0',64.0,4.15888,b'P'
0.0,b'1',b'0',63.0,4.14313,b'P'
0.0,b'1',b'0',41.0,3.71357,b'P'
0.0,b'1',b'0',44.0,3.78419,b'P'
0.0,b'1',b'0',44.0,3.78419,b'P'
0.0,b'1',b'0',36.0,3.58352,b'P'
0.0,b'1',b'0',47.0,3.85015,b'P'
0.0,b'1',b'0',54.0,3.98898,b'P'
45.0,b'1',b'1',406.0,6.00635,b'P'
7.0,b'1',b'1',432.0,6.06843,b'P'
12.0,b'1',b'1',209.0,5.34233,b'P'
12.0,b'1',b'1',257.0,5.54908,b'P'
15.0,b'1',b'1',266.0,5.5835,b'P'
3.0,b'1',b'1',117.0,4.76217,b'P'
0.0,b'1',b'0',143.0,4.96284,b'P'
0.0,b'1',b'0',155.0,5.04343,b'P'
0.0,b'1',b'0',212.0,5.35659,b'P'
0.0,b'1',b'0',212.0,5.35659,b'P'
26.0,b'0',b'1',415.0,6.02828,b'P'
1.0,b'1',b'1',77.0,4.34381,b'P'
6.0,b'0',b'1',78.0,4.35671,b'P'
1.0,b'0',b'1',46.0,3.82864,b'P'
2.0,b'0',b'1',37.0,3.61092,b'P'
139.0,b'1',b'1',920.0,6.82437,b'P'
8.0,b'0',b'1',468.0,6.14847,b'P'
11.0,b'0',b'1',462.0,6.13556,b'P'
27.0,b'0',b'1',479.0,6.1717,b'P'
0.0,b'0',b'0',18.0,2.89037,b'P'
13.0,b'0',b'1',45.0,3.80666,b'P'
1.0,b'0',b'1',49.0,3.89182,b'P'
0.0,b'0',b'1',49.0,3.89182,b'P'
0.0,b'0',b'1',49.0,3.89182,b'P'
0.0,b'0',b'1',34.0,3.52636,b'P'
0.0,b'0',b'1',34.0,3.52636,b'P'
12.0,b'1',b'1',168.0,5.12396,b'P'
10.0,b'1',b'1',265.0,5.57973,b'P'
