RUN,SPEED1,TOTAL,SPEED2,NUMBER2,SENS,TIME,binaryClass
25.0,2.0,10.0,1.5,0.0,6.0,5.7,b'P'
24.0,2.0,10.0,1.5,0.0,10.0,17.56,b'N'
30.0,2.0,10.0,1.5,2.0,6.0,11.28,b'P'
2.0,2.0,10.0,1.5,2.0,10.0,8.39,b'P'
40.0,2.0,10.0,2.5,0.0,6.0,16.67,b'P'
37.0,2.0,10.0,2.5,0.0,10.0,12.04,b'P'
16.0,2.0,10.0,2.5,2.0,6.0,9.22,b'P'
22.0,2.0,10.0,2.5,2.0,10.0,3.94,b'P'
33.0,2.0,30.0,1.5,0.0,6.0,27.02,b'P'
17.0,2.0,30.0,1.5,0.0,10.0,19.46,b'P'
28.0,2.0,30.0,1.5,2.0,6.0,18.54,b'P'
27.0,2.0,30.0,1.5,2.0,10.0,25.7,b'P'
14.0,2.0,30.0,2.5,0.0,6.0,19.02,b'P'
13.0,2.0,30.0,2.5,0.0,10.0,22.39,b'P'
4.0,2.0,30.0,2.5,2.0,6.0,23.85,b'P'
21.0,2.0,30.0,2.5,2.0,10.0,30.12,b'P'
23.0,6.0,10.0,1.5,0.0,6.0,13.42,b'P'
35.0,6.0,10.0,1.5,0.0,10.0,34.26,b'N'
19.0,6.0,10.0,1.5,2.0,6.0,39.74,b'N'
34.0,6.0,10.0,1.5,2.0,10.0,10.6,b'P'
31.0,6.0,10.0,2.5,0.0,6.0,28.89,b'N'
9.0,6.0,10.0,2.5,0.0,10.0,35.61,b'N'
38.0,6.0,10.0,2.5,2.0,6.0,17.2,b'N'
15.0,6.0,10.0,2.5,2.0,10.0,6.0,b'P'
39.0,6.0,30.0,1.5,0.0,6.0,129.45,b'N'
8.0,6.0,30.0,1.5,0.0,0.0,107.38,b'N'
26.0,6.0,30.0,1.5,2.0,6.0,111.66,b'N'
11.0,6.0,30.0,1.5,2.0,0.0,109.1,b'N'
6.0,6.0,30.0,2.5,0.0,6.0,100.43,b'N'
20.0,6.0,30.0,2.5,0.0,0.0,109.28,b'N'
10.0,6.0,30.0,2.5,2.0,6.0,106.46,b'N'
32.0,6.0,30.0,2.5,2.0,0.0,134.01,b'N'
1.0,4.0,20.0,2.0,1.0,8.0,10.78,b'P'
3.0,4.0,20.0,2.0,1.0,8.0,9.39,b'P'
5.0,4.0,20.0,2.0,1.0,8.0,9.84,b'P'
7.0,4.0,20.0,2.0,1.0,8.0,13.94,b'P'
12.0,4.0,20.0,2.0,1.0,8.0,12.33,b'P'
18.0,4.0,20.0,2.0,1.0,8.0,7.32,b'P'
29.0,4.0,20.0,2.0,1.0,8.0,7.91,b'P'
36.0,4.0,20.0,2.0,1.0,8.0,15.58,b'P'
