col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,binaryClass
b'76',33.0,33.0,262.0,307.0,1.1718,5.5683,5.7268,b'P'
b'76',34.0,34.0,259.0,306.0,1.1815,5.5568,5.7236,b'P'
b'76',35.0,35.0,257.0,306.0,1.1907,5.5491,5.7236,b'P'
b'76',36.0,36.0,262.0,306.0,1.1679,5.5683,5.7236,b'P'
b'76',37.0,37.0,264.0,306.0,1.1591,5.5759,5.7236,b'P'
b'76',38.0,38.0,268.0,313.0,1.1679,5.591,5.7462,b'P'
b'76',39.0,39.0,276.0,319.0,1.1558,5.6204,5.7652,b'P'
b'76',40.0,40.0,283.0,324.0,1.1449,5.6454,5.7807,b'P'
b'76',41.0,41.0,290.0,332.0,1.1448,5.6699,5.8051,b'P'
b'76',42.0,42.0,286.0,320.0,1.1189,5.656,5.7683,b'P'
b'76',43.0,43.0,288.0,320.0,1.1111,5.663,5.7683,b'P'
b'76',44.0,44.0,286.0,314.0,1.0979,5.656,5.7494,b'P'
b'76',45.0,45.0,279.0,306.0,1.0968,5.6312,5.7236,b'P'
b'76',46.0,46.0,279.0,307.0,1.1004,5.6312,5.7268,b'P'
b'76',47.0,47.0,280.0,308.0,1.1,5.6348,5.7301,b'P'
b'76',48.0,48.0,321.0,358.0,1.1153,5.7714,5.8805,b'P'
b'76',49.0,49.0,328.0,358.0,1.0915,5.793,5.8805,b'P'
b'76',50.0,50.0,334.0,360.0,1.0778,5.8111,5.8861,b'P'
b'77',2.0,54.0,332.0,360.0,1.0843,5.8051,5.8861,b'P'
b'77',3.0,55.0,332.0,362.0,1.0904,5.8051,5.8916,b'P'
b'77',4.0,56.0,326.0,361.0,1.1074,5.7869,5.8889,b'P'
b'77',5.0,57.0,322.0,359.0,1.1149,5.7746,5.8833,b'P'
b'77',6.0,58.0,324.0,359.0,1.108,5.7807,5.8833,b'P'
b'77',7.0,59.0,322.0,359.0,1.1149,5.7746,5.8833,b'P'
b'77',8.0,60.0,316.0,357.0,1.1297,5.7557,5.8777,b'P'
b'77',9.0,61.0,314.0,357.0,1.1369,5.7494,5.8777,b'P'
b'77',10.0,62.0,316.0,357.0,1.1297,5.7557,5.8777,b'P'
b'77',11.0,63.0,316.0,357.0,1.1297,5.7557,5.8777,b'P'
b'77',12.0,64.0,315.0,357.0,1.1333,5.7526,5.8777,b'P'
b'77',13.0,65.0,314.0,356.0,1.1338,5.7494,5.8749,b'P'
b'77',16.0,68.0,313.0,354.0,1.131,5.7462,5.8693,b'P'
b'77',17.0,69.0,312.0,354.0,1.1346,5.743,5.8693,b'P'
