year_zone,year,strip,pdk,damage_rankRJT,damage_rankALL,dry_or_irr,zone,GG_new
b'6f',b'86',3.0,1.0,b'1',b'0',b'D',b'F',b'low'
b'6f',b'86',3.0,2.0,b'0',b'0',b'D',b'F',b'high'
b'6f',b'86',3.0,3.0,b'1',b'1',b'D',b'F',b'high'
b'6f',b'86',3.0,4.0,b'1',b'0',b'D',b'F',b'high'
b'6f',b'86',3.0,5.0,b'0',b'0',b'D',b'F',b'low'
b'6f',b'86',4.0,1.0,b'0',b'1',b'D',b'F',b'low'
b'6f',b'86',4.0,2.0,b'2',b'2',b'D',b'F',b'high'
b'6f',b'86',4.0,3.0,b'1',b'0',b'D',b'F',b'low'
b'6m',b'86',6.0,1.0,b'2',b'0',b'D',b'M',b'average'
b'6m',b'86',6.0,2.0,b'3',b'3',b'D',b'M',b'average'
b'6m',b'86',6.0,3.0,b'1',b'1',b'D',b'M',b'low'
b'6c',b'86',10.0,1.0,b'1',b'1',b'D',b'C',b'high'
b'6c',b'86',10.0,2.0,b'3',b'4',b'O',b'C',b'high'
b'6c',b'86',10.0,3.0,b'3',b'3',b'D',b'C',b'high'
b'6c',b'86',10.0,4.0,b'3',b'2',b'D',b'C',b'veryhigh'
b'6c',b'86',10.0,5.0,b'3',b'3',b'D',b'C',b'high'
b'7f',b'87',1.0,2.0,b'2',b'1',b'D',b'F',b'veryhigh'
b'7f',b'87',1.0,3.0,b'3',b'3',b'D',b'F',b'veryhigh'
b'7f',b'87',2.0,1.0,b'2',b'1',b'D',b'F',b'high'
b'7f',b'87',3.0,1.0,b'0',b'1',b'D',b'F',b'low'
b'7f',b'87',3.0,2.0,b'1',b'0',b'D',b'F',b'low'
b'7f',b'87',3.0,3.0,b'0',b'0',b'D',b'F',b'low'
b'7f',b'87',3.0,4.0,b'2',b'1',b'D',b'F',b'low'
b'7f',b'87',3.0,5.0,b'0',b'1',b'D',b'F',b'low'
b'7m',b'87',5.0,1.0,b'2',b'3',b'B',b'M',b'low'
b'7m',b'87',5.0,2.0,b'1',b'2',b'D',b'M',b'average'
b'7m',b'87',5.0,3.0,b'0',b'0',b'D',b'M',b'low'
b'7m',b'87',5.0,4.0,b'1',b'1',b'D',b'M',b'low'
b'7m',b'87',6.0,2.0,b'2',b'1',b'D',b'M',b'low'
b'7m',b'87',6.0,4.0,b'3',b'1',b'D',b'M',b'high'
b'7c',b'87',10.0,1.0,b'3',b'2',b'D',b'C',b'veryhigh'
b'7c',b'87',10.0,2.0,b'3',b'2',b'D',b'C',b'high'
b'7c',b'87',10.0,3.0,b'2',b'2',b'D',b'C',b'high'
b'7c',b'87',10.0,4.0,b'1',b'1',b'O',b'C',b'high'
b'7c',b'87',10.0,5.0,b'2',b'3',b'D',b'C',b'high'
b'8f',b'88',1.0,0.0,b'5',b'3',b'D',b'F',b'veryhigh'
b'8f',b'88',1.0,1.0,b'0',b'0',b'D',b'F',b'low'
b'8f',b'88',1.0,2.0,b'3',b'1',b'D',b'F',b'veryhigh'
b'8f',b'88',1.0,4.0,b'2',b'1',b'D',b'F',b'veryhigh'
b'8f',b'88',3.0,1.0,b'1',b'1',b'D',b'F',b'low'
b'8f',b'88',3.0,2.0,b'2',b'2',b'D',b'F',b'high'
b'8f',b'88',3.0,3.0,b'1',b'0',b'D',b'F',b'low'
