col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,virus_type
25.0,9.0,9.0,19.0,12.0,8.0,20.0,b'0',10.0,b'0',b'6',b'21',b'8',b'7',b'4',7.0,17.0,b'5',b'Hordevirus'
26.0,9.0,9.0,20.0,13.0,8.0,20.0,b'0',10.0,b'0',b'6',b'21',b'8',b'7',b'4',7.0,17.0,b'5',b'Hordevirus'
25.0,9.0,9.0,22.0,10.0,10.0,23.0,b'0',13.0,b'0',b'6',b'19',b'5',b'6',b'4',8.0,16.0,b'5',b'Hordevirus'
15.0,10.0,21.0,13.0,18.0,12.0,22.0,b'1',9.0,b'2',b'4',b'11',b'5',b'10',b'1',14.0,8.0,b'2',b'Tobravirus'
17.0,11.0,22.0,15.0,14.0,10.0,23.0,b'1',11.0,b'2',b'4',b'11',b'5',b'9',b'1',13.0,9.0,b'1',b'Tobravirus'
22.0,17.0,17.0,16.0,10.0,15.0,13.0,b'1',7.0,b'2',b'3',b'14',b'9',b'9',b'2',12.0,6.0,b'2',b'Tobravirus'
21.0,18.0,18.0,15.0,11.0,15.0,16.0,b'1',7.0,b'2',b'3',b'14',b'6',b'8',b'2',12.0,7.0,b'2',b'Tobravirus'
20.0,9.0,16.0,15.0,16.0,6.0,19.0,b'1',7.0,b'3',b'4',b'14',b'4',b'11',b'1',16.0,11.0,b'3',b'Tobravirus'
22.0,10.0,17.0,18.0,13.0,6.0,21.0,b'1',8.0,b'3',b'4',b'13',b'4',b'11',b'1',15.0,10.0,b'3',b'Tobravirus'
17.0,13.0,14.0,16.0,4.0,9.0,14.0,b'1',13.0,b'0',b'11',b'13',b'5',b'7',b'1',4.0,11.0,b'5',b'Tobamovirus'
12.0,11.0,9.0,12.0,6.0,5.0,12.0,b'1',9.0,b'1',b'7',b'12',b'5',b'6',b'0',4.0,8.0,b'2',b'Tobamovirus'
18.0,16.0,16.0,16.0,8.0,6.0,14.0,b'1',14.0,b'0',b'9',b'12',b'4',b'8',b'0',2.0,11.0,b'3',b'Tobamovirus'
18.0,16.0,15.0,19.0,8.0,6.0,11.0,b'1',15.0,b'1',b'7',b'13',b'5',b'8',b'0',2.0,9.0,b'3',b'Tobamovirus'
17.0,13.0,13.0,22.0,8.0,4.0,18.0,b'1',10.0,b'3',b'8',b'11',b'7',b'6',b'1',2.0,10.0,b'2',b'Tobamovirus'
16.0,13.0,16.0,21.0,9.0,3.0,17.0,b'1',10.0,b'4',b'7',b'12',b'7',b'5',b'1',2.0,11.0,b'3',b'Tobamovirus'
22.0,19.0,10.0,16.0,10.0,4.0,18.0,b'1',12.0,b'2',b'8',b'11',b'6',b'8',b'0',1.0,8.0,b'2',b'Tobamovirus'
20.0,10.0,24.0,10.0,6.0,9.0,21.0,b'0',7.0,b'0',b'7',b'18',b'4',b'9',b'1',4.0,8.0,b'2',b'Tobamovirus'
20.0,21.0,12.0,15.0,9.0,7.0,11.0,b'1',9.0,b'3',b'8',b'14',b'6',b'7',b'0',1.0,10.0,b'3',b'Tobamovirus'
20.0,21.0,12.0,15.0,9.0,7.0,11.0,b'1',9.0,b'3',b'9',b'14',b'5',b'7',b'0',1.0,10.0,b'3',b'Tobamovirus'
18.0,11.0,24.0,10.0,9.0,6.0,19.0,b'0',12.0,b'0',b'7',b'14',b'4',b'11',b'0',4.0,9.0,b'1',b'Tobamovirus'
20.0,12.0,23.0,10.0,8.0,5.0,20.0,b'0',13.0,b'0',b'6',b'13',b'4',b'11',b'0',4.0,10.0,b'1',b'Tobamovirus'
18.0,19.0,18.0,16.0,8.0,4.0,12.0,b'0',12.0,b'0',b'10',b'15',b'8',b'6',b'1',1.0,12.0,b'1',b'Tobamovirus'
17.0,16.0,17.0,15.0,8.0,6.0,14.0,b'1',14.0,b'0',b'9',b'12',b'4',b'8',b'0',3.0,11.0,b'3',b'Tobamovirus'
19.0,17.0,14.0,16.0,8.0,6.0,14.0,b'1',14.0,b'0',b'8',b'12',b'4',b'8',b'0',2.0,12.0,b'3',b'Tobamovirus'
19.0,17.0,15.0,16.0,8.0,5.0,14.0,b'1',14.0,b'0',b'8',b'12',b'4',b'8',b'0',2.0,12.0,b'3',b'Tobamovirus'
19.0,15.0,16.0,16.0,8.0,6.0,14.0,b'1',15.0,b'0',b'8',b'12',b'4',b'8',b'0',2.0,12.0,b'3',b'Tobamovirus'
17.0,17.0,16.0,19.0,8.0,6.0,11.0,b'1',15.0,b'1',b'7',b'13',b'5',b'8',b'0',2.0,9.0,b'3',b'Tobamovirus'
18.0,17.0,15.0,19.0,8.0,6.0,11.0,b'1',15.0,b'1',b'7',b'13',b'5',b'8',b'0',2.0,9.0,b'3',b'Tobamovirus'
22.0,19.0,10.0,16.0,10.0,4.0,18.0,b'1',12.0,b'2',b'8',b'11',b'6',b'8',b'0',1.0,8.0,b'2',b'Tobamovirus'
22.0,19.0,10.0,16.0,10.0,5.0,17.0,b'1',12.0,b'2',b'8',b'11',b'6',b'8',b'0',1.0,8.0,b'2',b'Tobamovirus'
18.0,20.0,10.0,18.0,6.0,8.0,17.0,b'1',14.0,b'1',b'5',b'16',b'4',b'7',b'0',2.0,9.0,b'2',b'Tobamovirus'
18.0,16.0,16.0,15.0,8.0,6.0,13.0,b'1',14.0,b'1',b'8',b'12',b'4',b'8',b'1',2.0,12.0,b'3',b'Tobamovirus'
20.0,21.0,12.0,15.0,9.0,7.0,11.0,b'1',10.0,b'3',b'8',b'14',b'7',b'7',b'0',1.0,9.0,b'3',b'Tobamovirus'
20.0,21.0,12.0,15.0,9.0,7.0,11.0,b'1',10.0,b'3',b'9',b'14',b'5',b'7',b'0',1.0,10.0,b'3',b'Tobamovirus'
18.0,12.0,23.0,10.0,9.0,5.0,20.0,b'0',14.0,b'0',b'7',b'12',b'4',b'11',b'0',4.0,10.0,b'1',b'Tobamovirus'
18.0,12.0,21.0,10.0,10.0,5.0,18.0,b'0',13.0,b'0',b'8',b'12',b'4',b'12',b'0',4.0,10.0,b'1',b'Tobamovirus'
17.0,12.0,22.0,10.0,8.0,5.0,18.0,b'0',14.0,b'0',b'5',b'13',b'4',b'10',b'0',3.0,9.0,b'1',b'Tobamovirus'
17.0,16.0,16.0,16.0,8.0,6.0,15.0,b'1',14.0,b'0',b'9',b'12',b'4',b'8',b'0',2.0,11.0,b'3',b'Tobamovirus'
19.0,17.0,15.0,17.0,7.0,6.0,15.0,b'1',14.0,b'0',b'8',b'12',b'4',b'8',b'0',2.0,10.0,b'3',b'Tobamovirus'
18.0,16.0,16.0,19.0,8.0,6.0,11.0,b'1',15.0,b'1',b'7',b'13',b'5',b'8',b'0',2.0,9.0,b'3',b'Tobamovirus'
18.0,17.0,15.0,17.0,8.0,6.0,15.0,b'1',14.0,b'0',b'8',b'12',b'4',b'8',b'0',3.0,9.0,b'3',b'Tobamovirus'
15.0,12.0,14.0,23.0,8.0,3.0,17.0,b'1',9.0,b'4',b'7',b'15',b'6',b'6',b'1',2.0,11.0,b'2',b'Tobamovirus'
13.0,11.0,14.0,22.0,7.0,3.0,17.0,b'1',10.0,b'4',b'8',b'13',b'6',b'6',b'1',3.0,11.0,b'2',b'Tobamovirus'
16.0,11.0,15.0,23.0,10.0,4.0,18.0,b'1',10.0,b'3',b'7',b'12',b'6',b'5',b'1',2.0,9.0,b'3',b'Tobamovirus'
14.0,11.0,14.0,25.0,11.0,3.0,19.0,b'2',10.0,b'2',b'7',b'12',b'6',b'5',b'1',2.0,9.0,b'3',b'Tobamovirus'
11.0,11.0,15.0,24.0,10.0,5.0,18.0,b'1',11.0,b'1',b'7',b'14',b'5',b'7',b'2',3.0,11.0,b'2',b'Tobamovirus'
15.0,9.0,12.0,21.0,8.0,4.0,21.0,b'1',10.0,b'3',b'7',b'15',b'7',b'6',b'1',3.0,10.0,b'3',b'Tobamovirus'
15.0,11.0,15.0,22.0,7.0,3.0,19.0,b'1',8.0,b'3',b'4',b'14',b'6',b'5',b'1',2.0,10.0,b'2',b'Tobamovirus'
27.0,8.0,13.0,25.0,12.0,26.0,21.0,b'1',20.0,b'0',b'11',b'18',b'5',b'7',b'5',7.0,19.0,b'3',b'Furovirus'
27.0,8.0,13.0,25.0,13.0,27.0,21.0,b'1',19.0,b'0',b'11',b'18',b'6',b'8',b'5',7.0,19.0,b'3',b'Furovirus'
27.0,7.0,12.0,25.0,12.0,26.0,21.0,b'1',20.0,b'0',b'11',b'17',b'6',b'8',b'5',7.0,19.0,b'3',b'Furovirus'
26.0,8.0,13.0,25.0,13.0,26.0,21.0,b'1',19.0,b'0',b'11',b'18',b'6',b'8',b'5',8.0,19.0,b'3',b'Furovirus'
28.0,6.0,13.0,24.0,12.0,30.0,22.0,b'1',18.0,b'0',b'11',b'18',b'6',b'8',b'4',7.0,19.0,b'3',b'Furovirus'
27.0,8.0,14.0,25.0,13.0,26.0,21.0,b'1',18.0,b'0',b'11',b'18',b'6',b'8',b'5',7.0,19.0,b'3',b'Furovirus'
24.0,15.0,18.0,14.0,10.0,14.0,19.0,b'1',14.0,b'7',b'5',b'19',b'4',b'6',b'2',12.0,10.0,b'4',b'Furovirus'
25.0,14.0,15.0,15.0,9.0,12.0,14.0,b'0',8.0,b'3',b'6',b'12',b'4',b'14',b'1',10.0,8.0,b'0',b'Furovirus'
29.0,11.0,12.0,23.0,9.0,15.0,23.0,b'0',16.0,b'1',b'10',b'13',b'5',b'8',b'3',6.0,23.0,b'5',b'Furovirus'
28.0,15.0,22.0,21.0,7.0,32.0,21.0,b'1',13.0,b'2',b'8',b'16',b'12',b'5',b'5',8.0,9.0,b'1',b'Furovirus'
29.0,14.0,22.0,20.0,9.0,20.0,20.0,b'2',15.0,b'2',b'9',b'16',b'7',b'6',b'6',10.0,13.0,b'2',b'Furovirus'
29.0,16.0,18.0,18.0,8.0,32.0,22.0,b'1',14.0,b'2',b'9',b'18',b'15',b'4',b'4',8.0,9.0,b'1',b'Furovirus'
31.0,14.0,21.0,20.0,9.0,21.0,20.0,b'3',15.0,b'2',b'8',b'17',b'6',b'7',b'6',10.0,13.0,b'1',b'Furovirus'
