Home/Away,Favorite_Points,Underdog_Points,Pointspread,Favorite_Name,Underdog_name,Year,Week,Weekday,Overtime
b'away',27.0,24.0,4.0,b'BUF',b'MIA',89.0,1.0,b'?',b'?'
b'at_home',17.0,14.0,3.0,b'CHI',b'CIN',89.0,1.0,b'?',b'?'
b'away',51.0,0.0,2.5,b'CLE',b'PIT',89.0,1.0,b'?',b'?'
b'at_home',28.0,0.0,5.5,b'NO',b'DAL',89.0,1.0,b'?',b'?'
b'at_home',38.0,7.0,5.5,b'MIN',b'HOU',89.0,1.0,b'?',b'?'
b'at_home',34.0,20.0,6.0,b'DEN',b'KC',89.0,1.0,b'?',b'?'
b'away',31.0,21.0,6.0,b'LAN',b'ATL',89.0,1.0,b'?',b'?'
b'at_home',24.0,27.0,2.5,b'NYJ',b'NE',89.0,1.0,b'?',b'?'
b'away',16.0,13.0,1.5,b'PHX',b'DET',89.0,1.0,b'?',b'?'
b'at_home',40.0,14.0,3.5,b'LAA',b'SD',89.0,1.0,b'?',b'?'
b'away',30.0,24.0,3.0,b'SF',b'IND',89.0,1.0,b'?',b'?'
b'at_home',31.0,7.0,5.5,b'PHA',b'SEA',89.0,1.0,b'?',b'?'
b'at_home',21.0,23.0,3.0,b'GB',b'TB',89.0,1.0,b'?',b'?'
b'at_home',24.0,27.0,4.0,b'WAS',b'NYG',89.0,1.0,b'Monday_Night',b'?'
b'at_home',27.0,21.0,1.5,b'ATL',b'DAL',89.0,2.0,b'?',b'?'
b'at_home',24.0,14.0,11.0,b'NYG',b'DET',89.0,2.0,b'?',b'?'
b'away',34.0,27.0,4.0,b'HOU',b'SD',89.0,2.0,b'?',b'?'
b'at_home',31.0,17.0,6.0,b'LAN',b'IND',89.0,2.0,b'?',b'?'
b'at_home',24.0,19.0,2.0,b'KC',b'LAA',89.0,2.0,b'?',b'?'
b'at_home',10.0,24.0,6.0,b'NE',b'MIA',89.0,2.0,b'?',b'?'
b'at_home',38.0,7.0,0.0,b'CHI',b'MIN',89.0,2.0,b'?',b'?'
b'away',34.0,35.0,4.5,b'NO',b'GB',89.0,2.0,b'?',b'?'
