,targetdataset,sourcedataset
0,51,52
1,14,4
2,71,20
3,60,71
4,20,58
5,74,46
6,74,61
7,23,6
8,2,4
9,21,63
10,52,37
11,1,22
12,29,72
13,37,1
14,1,67
15,63,60
16,69,19
17,28,33
18,37,65
19,4,78
20,6,20
21,10,22
22,26,72
23,62,30
24,78,74
25,11,13
26,58,74
27,57,43
28,37,50
29,32,10
30,34,8
31,54,19
32,57,55
33,57,24
34,77,25
35,48,15
36,41,54
37,47,48
38,56,15
39,29,43
40,17,68
41,73,78
42,72,31
43,58,17
44,15,74
45,58,44
46,10,23
47,48,61
48,36,46
49,54,43
50,59,27
51,76,34
52,59,26
53,30,31
54,35,65
55,49,34
56,47,62
57,25,27
58,48,45
59,1,26
60,36,66
61,39,68
62,18,28
63,33,25
64,34,68
65,69,17
66,17,73
67,29,59
68,16,7
69,0,67
70,45,42
71,46,57
72,25,46
73,10,56
74,54,46
75,13,77
76,64,69
77,75,15
78,38,30
79,34,41
80,14,30
81,8,25
82,13,53
83,48,43
84,62,26
85,29,43
86,53,11
87,74,9
88,2,48
89,0,12
90,22,1
91,6,77
92,36,44
93,67,73
94,61,18
95,14,32
96,9,32
97,35,4
98,18,31
99,9,17
100,13,12
101,22,37
102,47,36
103,49,50
104,8,23
105,35,45
106,8,77
107,25,67
108,33,17
109,13,25
110,3,72
111,60,9
112,78,48
113,47,22
114,78,24
115,38,46
116,48,41
117,23,64
118,3,18
119,46,69
120,19,26
121,32,19
122,58,74
123,59,40
124,49,63
125,31,3
126,23,69
127,41,18
128,20,34
129,49,0
130,66,6
131,36,56
132,37,13
133,60,44
134,23,5
135,28,7
136,0,55
137,61,46
138,77,35
139,31,56
140,5,37
141,65,25
142,61,26
143,76,0
144,25,16
145,62,58
146,79,50
147,9,74
148,45,58
149,79,24
150,19,77
151,8,75
152,54,52
153,40,64
154,55,60
155,13,60
156,22,12
157,3,6
158,8,60
159,49,19
160,77,26
161,32,35
162,4,52
163,23,54
164,51,4
165,48,38
166,36,45
167,12,37
168,33,27
169,13,26
170,31,20
171,17,77
172,65,51
173,44,65
174,74,75
175,21,38
176,66,23
177,79,30
178,21,18
179,36,35
180,31,30
181,10,23
182,61,10
183,61,57
184,28,39
185,47,45
186,38,7
187,61,8
188,78,16
189,68,38
190,16,0
191,1,12
192,50,74
193,23,21
194,58,23
195,22,49
196,50,53
197,34,24
198,48,34
199,66,61
200,75,63
201,61,13
202,73,64
203,54,24
204,39,15
205,47,67
206,58,68
207,67,52
208,27,1
209,48,47
210,48,23
211,74,22
212,68,73
213,62,78
214,15,33
215,5,11
216,19,62
217,59,23
218,27,67
219,5,25
220,46,51
221,13,4
222,72,13
223,30,55
224,21,16
225,61,9
226,64,74
227,46,77
228,22,38
229,21,40
230,29,36
231,72,7
232,0,35
233,5,64
234,21,61
235,61,20
236,40,22
237,56,54
238,43,53
239,5,27
240,27,41
241,1,14
242,77,39
243,7,3
244,16,23
245,14,17
246,50,59
247,72,36
248,69,66
249,1,10
250,22,3
251,51,46
252,41,25
253,74,46
254,67,14
255,5,23
256,54,62
257,77,4
258,64,35
259,47,78
260,41,18
261,13,73
262,37,41
263,40,55
264,21,70
265,35,33
266,29,62
267,12,31
268,40,49
269,59,20
270,63,7
271,51,25
272,5,14
273,18,6
274,47,66
275,65,56
276,58,52
277,36,54
278,47,29
279,5,14
280,54,10
281,44,65
282,72,58
283,17,6
284,20,58
285,50,77
286,14,37
287,16,5
288,12,37
289,58,8
290,70,41
291,73,74
292,40,4
293,22,29
294,65,31
295,54,29
296,55,25
297,3,30
298,14,57
299,47,2
300,56,22
301,74,71
302,15,17
303,38,35
304,4,18
305,36,24
306,40,61
307,66,12
308,58,25
309,48,3
310,69,62
311,51,15
312,49,12
313,21,36
314,22,4
315,39,23
316,51,11
317,50,0
318,27,30
319,20,69
320,30,54
321,37,21
322,23,54
323,72,62
324,12,74
325,16,3
326,75,36
327,62,28
328,68,69
329,12,51
330,78,45
331,28,18
332,25,37
333,27,33
334,45,35
335,26,71
336,68,6
337,14,34
338,32,56
339,51,27
340,55,65
341,42,65
342,53,51
343,78,44
344,37,74
345,38,51
346,48,44
347,30,46
348,65,19
349,46,6
350,73,40
351,21,22
352,66,19
353,31,55
354,46,75
355,71,37
356,76,74
357,38,73
358,20,7
359,36,10
360,47,29
361,53,42
362,16,73
363,29,37
364,0,4
365,16,65
366,46,69
367,13,20
368,40,45
369,22,61
370,57,71
371,13,19
372,57,38
373,38,33
374,25,67
375,50,53
376,63,14
377,18,67
378,67,42
379,56,13
380,49,42
381,51,76
382,52,14
383,49,5
384,66,28
385,3,74
386,74,50
387,61,65
388,64,7
389,25,77
390,17,37
391,2,24
392,30,14
393,42,19
394,69,48
395,53,44
396,23,51
397,45,18
398,35,9
399,27,33
400,69,51
401,42,68
402,22,67
403,0,62
404,37,43
405,62,17
406,11,60
407,40,51
408,1,42
409,8,32
410,25,71
411,3,40
412,34,22
413,46,0
414,25,3
415,72,38
416,13,23
417,28,64
418,71,52
419,1,25
420,28,58
421,63,46
422,23,51
423,30,76
424,25,26
425,10,52
426,64,52
427,30,68
428,30,50
429,72,55
430,74,46
431,11,18
432,35,25
433,64,66
434,76,26
435,57,69
436,55,51
437,1,73
438,6,15
439,49,76
440,78,52
441,41,13
442,7,55
443,57,43
444,29,68
445,16,41
446,11,20
447,8,47
448,33,55
449,31,5
450,47,16
451,9,48
452,28,50
453,33,71
454,60,54
455,26,56
456,64,16
457,58,16
458,7,67
459,6,72
460,59,16
461,61,62
462,40,79
463,20,56
464,74,0
465,75,17
466,40,77
467,29,63
468,20,43
469,12,20
470,23,54
471,15,53
472,66,26
473,44,43
474,33,64
475,56,52
476,3,37
477,77,69
478,51,59
479,61,77
480,78,58
481,8,65
482,21,29
483,11,6
484,23,51
485,21,42
486,65,53
487,23,28
488,2,12
489,38,29
490,31,38
491,27,60
492,43,24
493,33,15
494,6,72
495,1,47
496,60,38
497,57,73
498,45,25
499,22,2
500,13,79
501,43,57
502,44,51
503,34,47
504,36,11
505,2,76
506,41,20
507,60,43
508,14,75
509,67,26
510,79,34
511,12,40
